Bank,PromptName,PromptText
HSBC,Scenario ECL,"Given the full document content provided, extract the Reported ECL, Central scenario, Upside scenario , Downside scenario , Downside 2 scenario  ECL (Provisions)  for the following categories: Retail analysis and Wholesale analysis, as reported for the latest period presented in the document. Focus specifically on sections titled ""Wholesale and retail sensitivity analysis"" within the document, as these sections contain the detailed breakdown of Reported ECL, Central scenario, Upside scenario , Downside scenario , Downside 2 scenario by category. Use the following guidelines:

1. ECL refers to provisions on credit exposures for each category (Reported ECL, Central scenario, Upside scenario , Downside scenario , Downside 2 scenario), expressed in £m.
4. Locate and extract the data directly from sections titled ""Wholesale and retail sensitivity analysis"". If multiple periods are present, identify the latest period by the most recent date (e.g., ""As at [date]"") or context (e.g., ""current period"" vs. ""prior period""), and use only that period’s data. If subcategories are present, sum them for Balance and ECL, and recalculate Coverage if table percentages are inconsistent.
5. If OCR errors or inconsistencies are detected (e.g., Coverage percentages not matching ECL/Balance, unclear ECL values), prioritize calculated Coverage (ECL/Balance) over table-provided percentages, adjusting ECL or Balance where necessary to align with totals or logical consistency, and note adjustments.
6. ""Retail & Business Banking"" is split into Mortgages,EDB - Credit Cards, EDB - Other as separate rows within the table. validate totals against provided aggregates where possible.
7. If both on balance sheet and off balance sheet numbers are present, show only the on balance sheet numbers. 
8. Return the result as a JSON string with the following structure:
   {
       ""Wholesale analysis"": {
       ""Reported ECL "": {""ECL"": ""<value>""},
       ""Central scenario "": {""ECL"": ""<value>""},
       ""Upside scenario "": {""ECL"": ""<value>""}
       ""Downside scenario "": {""ECL"": ""<value>""}
       ""Downside 2 scenario "": {""ECL"": ""<value>""}
     },
       ""Retail analysis"": {
       ""Reported ECL "": {""ECL"": ""<value>""},
       ""Central scenario "": {""ECL"": ""<value>""},
       ""Upside scenario "": {""ECL"": ""<value>""}
       ""Downside scenario "": {""ECL"": ""<value>""}
       ""Downside 2 scenario "": {""ECL"": ""<value>""}   
   },
   }
9. Express monetary values in £m (millions) as strings without commas (e.g., ""52370"" for £52,370m), and Coverage as a percentage string with two decimal places (e.g., ""0.84%"").
10. Include a note after the JSON detailing the data source (e.g., specific table), any adjustments made due to OCR errors or inconsistencies (e.g., recalculated Coverage, adjusted ECL), and validation against totals if applicable.
11. If you don't know the answer, just say that you don’t know, don’t try to make up an answer."
HSBC,Scenario Weight,"Given the full document content provided, extract the scenario weight for the  Central scenario, Upside scenario , Downside scenario , Downside 2 scenario  as reported for the latest period presented in the document. Use the following guidelines:
1. Return the result as a JSON string with the following structure:
   {
       ""Scenario weights %"": {

       ""Central "": {""Weight"": ""<value>""},
       ""Upside "": {""Weight"": ""<value>""}
       ""Downside "": {""Weight"": ""<value>""}
       ""Downside 2  "": {""Weight"": ""<value>""}
     }
   }"
Santander,Scenario ECL,"Given the full document content provided, extract the Upside, Base case, Downside 1, Downside 2 and Weighted ECL (Provisions) and Balance (Exposure) for the following categories: Retail & Business Banking, Mortgages, Consumer Finance, Corporate & Commercial Banking and Corporate Centre , as reported for the latest period presented in the document. Focus specifically on sections titled ""Scenario sensitivity"" within the document, as these sections contain the detailed breakdown of Upside, Base case, Downside 1, Downside 2 and Weighted by category. Use the following guidelines:

1. ECL refers to provisions on credit exposures for each category (Retail & Business Banking, Mortgages, Consumer Finance, Corporate & Commercial Banking and Corporate Centre), expressed in £m.
2. Balance refers to the Exposure for each stage and category, expressed in £m.
4. Locate and extract the data directly from sections titled ""Scenario sensitivity"". If multiple periods are present, identify the latest period by the most recent date (e.g., ""As at [date]"") or context (e.g., ""current period"" vs. ""prior period""), and use only that period’s data. If subcategories are present, sum them for Balance and ECL, and recalculate Coverage if table percentages are inconsistent.
5. If OCR errors or inconsistencies are detected (e.g., Coverage percentages not matching ECL/Balance, unclear ECL values), prioritize calculated Coverage (ECL/Balance) over table-provided percentages, adjusting ECL or Balance where necessary to align with totals or logical consistency, and note adjustments.
6. ""Retail & Business Banking"" is split into Mortgages,EDB - Credit Cards, EDB - Other as separate rows within the table. validate totals against provided aggregates where possible.
7. If both on balance sheet and off balance sheet numbers are present, show only the on balance sheet numbers. 
8. Return the result as a JSON string with the following structure:
   {
       ""Retail & Business Banking"": {
       ""Upside"": {""ECL"": ""<value>"", ""Balance"": ""<value>""},
       ""Base"": {""ECL"": ""<value>"", ""Balance"": ""<value>""},
       ""Downside 1"": {""ECL"": ""<value>"", ""Balance"": ""<value>""}
       ""Downside 2"": {""ECL"": ""<value>"", ""Balance"": ""<value>""}
       ""Weighted"": {""ECL"": ""<value>"", ""Balance"": ""<value>""}
     },
""Mortgages"": {
       ""Upside"": {""ECL"": ""<value>"", ""Balance"": ""<value>""},
       ""Base"": {""ECL"": ""<value>"", ""Balance"": ""<value>""},
       ""Downside 1"": {""ECL"": ""<value>"", ""Balance"": ""<value>""}
       ""Downside 2"": {""ECL"": ""<value>"", ""Balance"": ""<value>""}
       ""Weighted"": {""ECL"": ""<value>"", ""Balance"": ""<value>""}
     },
     "" Consumer Finance"": {
       ""Upside"": {""ECL"": ""<value>"", ""Balance"": ""<value>""},
       ""Base"": {""ECL"": ""<value>"", ""Balance"": ""<value>""},
       ""Downside 1"": {""ECL"": ""<value>"", ""Balance"": ""<value>""}
       ""Downside 2"": {""ECL"": ""<value>"", ""Balance"": ""<value>""}
       ""Weighted"": {""ECL"": ""<value>"", ""Balance"": ""<value>""}
     },
     "" Corporate & Commercial Banking "": {
       ""Upside"": {""ECL"": ""<value>"", ""Balance"": ""<value>""},
       ""Base"": {""ECL"": ""<value>"", ""Balance"": ""<value>""},
       ""Downside 1"": {""ECL"": ""<value>"", ""Balance"": ""<value>""}
       ""Downside 2"": {""ECL"": ""<value>"", ""Balance"": ""<value>""}
       ""Weighted"": {""ECL"": ""<value>"", ""Balance"": ""<value>""}
     },
     "" Corporate Centre "": {
       ""Upside"": {""ECL"": ""<value>"", ""Balance"": ""<value>""},
       ""Base"": {""ECL"": ""<value>"", ""Balance"": ""<value>""},
       ""Downside 1"": {""ECL"": ""<value>"", ""Balance"": ""<value>""}
       ""Downside 2"": {""ECL"": ""<value>"", ""Balance"": ""<value>""}
       ""Weighted"": {""ECL"": ""<value>"", ""Balance"": ""<value>""}
     },
   }
9. Express monetary values in £m (millions) as strings without commas (e.g., ""52370"" for £52,370m), and Coverage as a percentage string with two decimal places (e.g., ""0.84%"").
10. Include a note after the JSON detailing the data source (e.g., specific table), any adjustments made due to OCR errors or inconsistencies (e.g., recalculated Coverage, adjusted ECL), and validation against totals if applicable.
11. If you don't know the answer, just say that you don’t know, don’t try to make up an answer."
Santander,Scenario Weight,"Given the full document content provided, extract the scenario weight for the  Upside , Base case , Downside 1 , Downside 2 scenario  as reported for the latest period presented in the document. Use the following guidelines:
1. Return the result as a JSON string with the following structure:
   {
       ""Scenario weights %"": {

       ""Upside "": {""Weight"": ""<value>""},
       ""Base case "": {""Weight"": ""<value>""}
       ""Downside 1"": {""Weight"": ""<value>""}
       ""Downside 2  "": {""Weight"": ""<value>""}
     }
   }"
Nationwide,Scenario ECL,"Given the full document content provided, extract the Upside scenario  , Base case scenario , Downside scenario , Severe Downside  scenario and reported Provisions  for the following categories: Residential mortgages, Consumer banking – credit cards , Consumer banking – personal loans and overdraft, Commercial lending, as reported for the latest period presented in the document. Focus specifically on sections titled ""ECL under 100% weighted scenarios "" within the document, as these sections contain the detailed breakdown of Upside scenario  , Base case scenario , Downside scenario , Severe Downside  scenario and reported Provisions. Use the following guidelines:

1. ECL refers to provisions on credit exposures for each category (Residential mortgages, Consumer banking – credit cards , Consumer banking – personal loans and overdraft, Commercial lending), expressed in £m.
4. Locate and extract the data directly from sections titled ""ECL under 100% weighted scenarios "". If multiple periods are present, identify the latest period by the most recent date (e.g., ""As at [date]"") or context (e.g., ""current period"" vs. ""prior period""), and use only that period’s data. If subcategories are present, sum them for Balance and ECL, and recalculate Coverage if table percentages are inconsistent.
5. If OCR errors or inconsistencies are detected (e.g., Coverage percentages not matching ECL/Balance, unclear ECL values), prioritize calculated Coverage (ECL/Balance) over table-provided percentages, adjusting ECL or Balance where necessary to align with totals or logical consistency, and note adjustments.

7. If both on balance sheet and off balance sheet numbers are present, show only the on balance sheet numbers. 
8. Return the result as a JSON string with the following structure:
   {
       ""Residential mortgages "": {
       ""Upside scenario"": {""ECL"": ""<value>""},
       ""Base case scenario"": {""ECL"": ""<value>""},
       ""Downside scenario"": {""ECL"": ""<value>""}
       ""Severe Downside scenario"": {""ECL"": ""<value>""}
       ""Reported provisions"": {""ECL"": ""<value>""}
     },
       ""Consumer banking – credit cards "": {
       ""Upside scenario"": {""ECL"": ""<value>""},
       ""Base case scenario"": {""ECL"": ""<value>""},
       ""Downside scenario"": {""ECL"": ""<value>""}
       ""Severe Downside scenario"": {""ECL"": ""<value>""}
       ""Reported provisions"": {""ECL"": ""<value>""}
     },
       ""Consumer banking – personal loans and overdraft "": {
       ""Upside scenario"": {""ECL"": ""<value>""},
       ""Base case scenario"": {""ECL"": ""<value>""},
       ""Downside scenario"": {""ECL"": ""<value>""}
       ""Severe Downside scenario"": {""ECL"": ""<value>""}
       ""Reported provisions"": {""ECL"": ""<value>""}
     },
       ""Commercial lending "": {
       ""Upside scenario"": {""ECL"": ""<value>""},
       ""Base case scenario"": {""ECL"": ""<value>""},
       ""Downside scenario"": {""ECL"": ""<value>""}
       ""Severe Downside scenario"": {""ECL"": ""<value>""}
       ""Reported provisions"": {""ECL"": ""<value>""}
     },
   }
9. Express monetary values in £m (millions) as strings without commas (e.g., ""52370"" for £52,370m), and Coverage as a percentage string with two decimal places (e.g., ""0.84%"").
10. Include a note after the JSON detailing the data source (e.g., specific table), any adjustments made due to OCR errors or inconsistencies (e.g., recalculated Coverage, adjusted ECL), and validation against totals if applicable.
11. If you don't know the answer, just say that you don’t know, don’t try to make up an answer."
Nationwide,Scenario Weight,"Given the full document content provided, extract the Scenario probability weighting (%)  for the  Upside scenario  , Base case scenario , Downside scenario , Severe Downside  scenario  as reported for the latest period presented in the document. Use the following guidelines:
1. Return the result as a JSON string with the following structure:
   {
       ""Scenario weights %"": {
       ""Upside scenario "": {""Weight"": ""<value>""},
       ""Base case scenario"": {""Weight"": ""<value>""}
       ""Downside scenario"": {""Weight"": ""<value>""}
       ""Severe Downside scenario  "": {""Weight"": ""<value>""}
     }
   }"
VMUK,Scenario ECL,"Given the full document content provided extract the Upside, Base, Downside, Severe Downside, and Probability Weighted impairment provisions for the following categories: Mortgages, Unsecured Lending – Cards, Unsecured Lending – Personal Loans and Overdrafts, and Business Lending, as reported for the latest period presented. Focus specifically on the table titled ""Economic scenarios"" under the section ""The calculation of the Group’s impairment provision,"" which contains the detailed breakdown of Upside, Base, Downside, Severe Downside, and Probability Weighted modelled provisions. Use the following guidelines:

Locate and extract the data directly from the ""Economic scenarios"" table. The table provides the latest period data, so use only that period’s data. For the ""Unsecured"" category, break down the data into subcategories ""Cards"" and ""Personal loans and overdrafts"" as provided.
If OCR errors or inconsistencies are detected (e.g., totals not aligning with category sums), adjust values to align with totals or logical consistency, and note adjustments.
Show only on balance sheet numbers (the table does not indicate off balance sheet numbers, so this is assumed to be on balance sheet).
Return the result as a JSON string with the following structure:  
{
    ""Mortgages"": {
        ""Upside"": {""Impairment Provisions"": ""<value>""},
        ""Base"": {""Impairment Provisions"": ""<value>""},
        ""Downside"": {""Impairment Provisions"": ""<value>""},
        ""Severe Downside"": {""Impairment Provisions"": ""<value>""},
        ""Probability Weighted"": {""Impairment Provisions"": ""<value>""}
    },
    ""Unsecured Lending – Cards"": {
        ""Upside"": {""Impairment Provisions"": ""<value>""},
        ""Base"": {""Impairment Provisions"": ""<value>""},
        ""Downside"": {""Impairment Provisions"": ""<value>""},
        ""Severe Downside"": {""Impairment Provisions"": ""<value>""},
        ""Probability Weighted"": {""Impairment Provisions"": ""<value>""}
    },
    ""Unsecured Lending – Personal Loans and Overdrafts"": {
        ""Upside"": {""Impairment Provisions"": ""<value>""},
        ""Base"": {""Impairment Provisions"": ""<value>""},
        ""Downside"": {""Impairment Provisions"": ""<value>""},
        ""Severe Downside"": {""Impairment Provisions"": ""<value>""},
        ""Probability Weighted"": {""Impairment Provisions"": ""<value>""}
    },
    ""Business Lending"": {
        ""Upside"": {""Impairment Provisions"": ""<value>""},
        ""Base"": {""Impairment Provisions"": ""<value>""},
        ""Downside"": {""Impairment Provisions"": ""<value>""},
        ""Severe Downside"": {""Impairment Provisions"": ""<value>""},
        ""Probability Weighted"": {""Impairment Provisions"": ""<value>""}
    }
}
Express monetary values in £m (millions) as strings without commas (e.g., ""52370"" for £52,370m).
Include a note after the JSON detailing the data source (e.g., specific table), any adjustments made due to OCR errors or inconsistencies (e.g., recalculated totals), and validation against totals if applicable.
If the required data is not found, state that the information is unavailable and explain why (e.g., missing section, lack of scenario breakdown)."
VMUK,Scenario Weight,"Given the full document content provided  extract the scenario probability weightings (%) for the Upside, Base, Downside, and Severe Downside scenarios as reported for the latest period presented i nthe document. Use the following guidelines:
1. Return the result as a JSON string with the following structure:
{
    ""Scenario weights %"": {
        ""Upside"": {""Weight"": ""<value>""},
        ""Base"": {""Weight"": ""<value>""},
        ""Downside"": {""Weight"": ""<value>""},
        ""Severe Downside"": {""Weight"": ""<value>""}
    }
}"
NWG,Scenario ECL,"Given the full document content provided, extract the Moderate Upside Scenario, Base Scenario, Moderate Downside Scenario, Extreme Downside Scenario, and Actual Stage 1 and Stage 2 modelled ECL for the following categories: Mortgages, Unsecured Lending, Business Lending – Property, and Business Lending – Non-Property, as reported for the latest period presented in the table . Focus specifically on the table titled ""Measuring uncertainty and ECL sensitivity analysis (audited),"" which contains the detailed breakdown of Stage 1 and Stage 2 modelled ECL under the Base Scenario, Moderate Upside Scenario, Moderate Downside Scenario, Extreme Downside Scenario, and Actual values. Use the following guidelines:

Locate and extract the data directly from the ""Measuring uncertainty and ECL sensitivity analysis (audited)"" table. The table provides the latest period data, so use only that period’s data. For the ""Retail Banking - unsecured"" category, use the total ECL provided (do not break down into subcategories like Cards or Personal Loans and Overdrafts, as the table does not provide this breakdown). For ""Business Lending,"" break down the data into ""Property"" and ""Non-Property"" subcategories as provided (using ""Non-personal - property"" and ""Non-personal - non-property"").
If OCR errors or inconsistencies are detected (e.g., totals not aligning with category sums), adjust values to align with totals or logical consistency, and note adjustments.
Show only on balance sheet numbers (the table does not indicate off balance sheet numbers, so this is assumed to be on balance sheet).
Return the result as a JSON string with the following structure:
{
    ""Mortgages"": {
        ""Moderate Upside Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Base Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Moderate Downside Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Extreme Downside Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Actual"": {""Stage 1 and Stage 2 ECL"": ""<value>""}
    },
    ""Unsecured Lending"": {
        ""Moderate Upside Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Base Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Moderate Downside Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Extreme Downside Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Actual"": {""Stage 1 and Stage 2 ECL"": ""<value>""}
    },
    ""Business Lending – Property"": {
        ""Moderate Upside Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Base Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Moderate Downside Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Extreme Downside Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Actual"": {""Stage 1 and Stage 2 ECL"": ""<value>""}
    },
    ""Business Lending – Non-Property"": {
        ""Moderate Upside Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Base Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Moderate Downside Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Extreme Downside Scenario"": {""Stage 1 and Stage 2 ECL"": ""<value>""},
        ""Actual"": {""Stage 1 and Stage 2 ECL"": ""<value>""}
    }
}
Express monetary values in £m (millions) as strings without commas (e.g., ""52370"" for £52,370m).
Include a note after the JSON detailing the data source (e.g., specific table), any adjustments made due to OCR errors or inconsistencies (e.g., recalculated totals), and validation against totals if applicable.
If the required data is not found, state that the information is unavailable and explain why (e.g., missing section, lack of scenario breakdown)."
NWG,Scenario Weight,"Given the full document content provided, extract the scenario probability weightings (%) for the Moderate Upside Scenario, Base Scenario, Moderate Downside Scenario, and Extreme Downside Scenario as reported in the document. Use the following guidelines:

Search the document for a section or table that provides the scenario probability weightings for the scenarios labeled as ""Moderate Upside Scenario,"" ""Base Scenario,"" ""Moderate Downside Scenario,"" and ""Extreme Downside Scenario"" (as used in the ""Measuring uncertainty and ECL sensitivity analysis (audited)"" table). If the weightings are not found in the document, note that they are unavailable and refer to any previously provided data (e.g., a ""Scenario"" table with weightings for these scenarios).
Return the result as a JSON string with the following structure:
{
    ""Scenario weights %"": {
        ""Moderate Upside Scenario"": {""Weight"": ""<value>""},
        ""Base Scenario"": {""Weight"": ""<value>""},
        ""Moderate Downside Scenario"": {""Weight"": ""<value>""},
        ""Extreme Downside Scenario"": {""Weight"": ""<value>""}
    }
}
Express the weights as percentage strings without the '%' symbol (e.g., ""10"" for 10%).
Include a note after the JSON detailing the data source (e.g., specific table or section) and any adjustments made if applicable. If the weightings are not found in the document, explicitly state this and reference any previously provided data (e.g., a ""Scenario"" table with weightings: Upside 10%, Base 55%, Downside 20%, Severe Downside 15%) that may align with the scenarios after adjusting for terminology differences.
If the required data is not found, state that the information is unavailable and explain why (e.g., missing table, lack of scenario weights)."
